CIR,LSV,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONSABILIDAD,COMENTARIO,MATERIA
CIR  Art. 041 Apt. - Opc. 5E,LSV  Art. 018 Apt. 1 Opc. 5E,41018,-1,5E,0,"

GRAVE 076.- M)","DESPLAZARSE
LATERALMENTE A UN CARRIL CONTIGUO DESTINADO AL SENTIDO NORMAL DE LA CIRCULACIÓN DESDE OTRO CARRIL HABILITADO PARA LA CIRCULACIÓN AL SENTIDO CONTRARIO AL HABITUAL","

200.0

100.0",CONDUCTOR,,"

UTILIZACIÓ N CARRILES"
CIR  Art. 041 Apt. - Opc. 5F,LSV  Art. 018 Apt. 1 Opc. 5F,41018,-1,5F,0,"

GRAVE 076.- M)","DESPLAZARSE
LATERALMENTE A UN CARRIL CONTIGUO DESTINADO AL SENTIDO CONTRARIO AL HABITUAL DE LA CIRCULACIÓN DESDE OTRO CARRIL HABILITADO PARA LA CIRCULACIÓN AL SENTIDO NORMAL","

200.0

100.0",CONDUCTOR,,"

UTILIZACIÓ N CARRILES"
CIR  Art. 041 Apt. - Opc. 5G,LSV  Art. 018 Apt. 1 Opc. 5G,41018,-1,5G,"

0","
GRAVE 076.- C)","CIRCULAR ALTERANDO LOS
ELEMENTOS DE BALIZAMIENTO PERMANENTES O MÓVILES DE UN CARRIL DESTINADO AL USO CONTRARIO AL HABITUAL","
200.0

100.0",CONDUCTOR,"NOTA: SI LA ALTERACIÓN FUERA DE TIPO
LEVE, TAL CONDUCTA PODRÍA SER CONSIDERADA COMO CONSTITUTIVA DE DISTRACCIÓN O DE FALTA DE ATENCIÓN QUE SERÍA DENUNCIADA COMO VULNERACIÓN DEL ARTÍCULO 18.1, OPCIÓN 5C DEL RGCIRC.",BALIZAMIEN TO
CIR  Art. 041 Apt. - Opc. 5H,LSV  Art. 018 Apt. 1 Opc. 5H,41018,-1,5H,"
6","MUY GRAVE 077.-
F)","CIRCULAR EN SENTIDO CONTRARIO AL ESTIPULADO EN UNA CALZADA EN LA QUE LA AUTORIDAD COMPETENTE DE LA REGULACIÓN DEL TRÁFICO HAYA HABILITADO CARRILES PARA SU UTILIZACIÓN EN SENTIDO CONTRARIO AL HABITUAL (SE DENUNCÍARÁN POR ESTE CONCEPTO, TANTO A LOS QUE CIRCULANDO POR EL CARRIL HABILITADO INVADEN EL CONTIGUO EN SENTIDO CONTRARIO, COMO LOS QUE CIRCULANDO POR ÉSTE
HABILITADO)	","500.0

250.0",CONDUCTOR,,"

SENTIDO CONTRARI O"
CIR  Art. 042 Apt. 1 Opc. 5A,LSV  Art. 043 Apt. 2 Opc. 5A,42043,12,5A,"

0","
GRAVE 076.- E)","CIRCULAR POR UN CARRIL ADICIONAL DE CIRCULACIÓN BALIZADO SIN LLEVAR ENCENDIDO EL ALUMBRADO
DE CRUCE","
200.0

100.0",CONDUCTOR,,"
ALUMBRAD O"
CIR  Art. 042 Apt. - Opc. 5B,LSV  Art. 018 Apt. 1 Opc. 5B,42018,-1,5B,0,"

GRAVE 076.- M)","DESPLAZARSE LATERALMENTE A UN CARRIL DESTINADO AL SENTIDO NORMAL DE LA CIRCULACIÓN DESDE UN CARRIL ADICIONAL, INVADIENDO EL
SENTIDO CONTRARIO","

200.0

100.0",CONDUCTOR,,"

UTILIZACIÓ N CARRILES"
CIR  Art. 042 Apt. - Opc. 5C,LSV  Art. 018 Apt. 1 Opc. 5C,42018,-1,5C,0,"

GRAVE 076.- M)","DESPLAZARSE LATERALMENTE DESDE UN CARRIL DE SENTIDO NORMAL DE CIRCULACIÓN A UN CARRIL ADICIONAL, INVADIENDO EL SENTIDO
CONTRARIO","

200.0

100.0",CONDUCTOR,,"

UTILIZACIÓ N CARRILES"
CIR  Art. 042 Apt. - Opc. 5D,LSV  Art. 018 Apt. 1 Opc. 5D,42018,-1,5D,"
6","MUY GRAVE 077.-
F)",CIRCULAR POR UN CARRIL ADICIONAL DE CIRCULACIÓN EN SENTIDO CONTRARIO AL ESTIPULADO,"500.0

250.0",CONDUCTOR,,"
SENTIDO CONTRARI O"
CIR  Art. 042 Apt. - Opc. 5E,LSV  Art. 018 Apt. 1 Opc. 5E,42018,-1,5E,"
0",GRAVE 076.- C),CIRCULAR POR UN CARRIL ADICIONAL DE CIRCULACIÓN ALTERANDO SUS ELEMENTOS DE BALIZAMIENTO,"200.0

100.0",CONDUCTOR,,"

BALIZAMIEN TO"
CIR  Art. 043 Apt. - Opc. 5A,LSV  Art. 019 Apt. 1 Opc. 5A,43019,-1,5A,6,"

MUY GRAVE 077.-
F)","CIRCULAR EN SENTIDO CONTRARIO AL ESTIPULADO EN VÍA DE DOBLE SENTIDO DE CIRCULACIÓN, DONDE EXISTE UNA ISLETA, UN REFUGIO O UN DISPOSITIVO
DE GUÍA","

500.0

250.0",CONDUCTOR,,"

SENTIDO CONTRARI O"
CIR  Art. 043 Apt. - Opc. 5A,LSV  Art. 019 Apt. 2 Opc. 5A,43019,-2,5A,"
6","MUY GRAVE 077.-
F)","CIRCULAR POR UNA PLAZA, GLORIETA O ENCUENTRO DE VÍAS EN SENTIDO CONTRARIO AL ESTIPULADO","500.0

250.0",CONDUCTOR,"NOTA: EN PLAZAS, GLORIETAS Y ENCUENTROS DE VÍAS, LOS VEHICULOS CIRCULARÁN DEJANDO A SU IZQUIERDA EL CENTRO DE LAS MISMAS.","
SENTIDO CONTRARI O"
CIR  Art. 044 Apt. - Opc. 5A,LSV  Art. 015 Apt. 1 Opc. 5A,44015,-1,5A,"
6","MUY GRAVE 077.-
F)","CIRCULAR EN SENTIDO CONTRARIO AL ESTIPULADO EN VÍA DIVIDIDA EN DOS CALZADAS (SALVO CUANDO LA CAUSA DE LA CIRCULACIÓN EN SENTIDO CONTRARIO HAYA PODIDO SER DEBIDA A UN ERROR EN LA PERCEPCIÓN DEL CONDUCTOR, QUE CIRCULA INVOLUNTARIAMENTE EN SENTIDO CONTRARIO DEBIDO A UNA SITUACIÓN ""PERMANENTE"" VINCULADA CON SU ESTADO GENERAL
DE SALUD )","500.0

250.0",CONDUCTOR,"
NOTA: O SI LA CAUSA DE TAL ACCIÓN FUE DEBIDA A UN ERROR DEL CONDUCTOR,AL INCORPORARSE A DICHAS VÍAS, POR FALTA DE UNA ADECUADA SEÑALIZACIÓN, SE ENVIARÁ INFORME DETALLADO A JPT PARA QUE PUEDA ADOPTAR LAS MEDIDAS QUE ESTIME OPORTUNAS",SENTIDO CONTRARI O
CIR  Art. 044 Apt. - Opc. 5B,LSV  Art. 015 Apt. 2 Opc. 5B,44015,-2,5B,6,"

MUY GRAVE 077.-
F)","CIRCULAR POR LA CALZADA
LATERAL O CENTRAL, EN SENTIDO CONTRARIO AL ESTIPULADO EN LA CORRESPONDIENTE SEÑAL, EN UNA VÍA DIVIDIDA EN TRES
CALZADAS	","

500.0

250.0",CONDUCTOR,,SENTIDO CONTRARI O
CIR  Art. 046 Apt. 1 Opc. 5A,LSV  Art. 021 Apt. 1 Opc. 5A,46021,11,5A,"
0",GRAVE 076.- M),"CIRCULAR CON UN VEHÍCULO SIN MODERAR LA VELOCIDAD Y, EN SU CASO, SIN DETENERSE CUANDO LO EXIGEN LAS CIRCUNSTANCIAS (DEBERÁN INDICARSE SUCINTAMENTE TALES CIRCUNSTANCIAS: PRESENCIA DE PEATONES, CICLISTAS, VEHÍCULOS, ANIMALES, INTERSECCIÓNES, COLEGIOS, OTROS LUGARES ESPECIALES, CIRCUNSTANCIAS METEOROLÓGICAS, ESTADO
)	","200.0

100.0",CONDUCTOR,"

NOTA: TÉNGASE EN CUENTA LA MODIFICACIÓN DE LA LETRA F) DE ESTE PRECEPTO POR RD 159/2021, DE 16 DE MARZO","
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5A,LSV  Art. 021 Apt. 2 Opc. 5A,48021,12,5A,"
6","MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H. (GRAVE)","600.0

300.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5B,LSV  Art. 021 Apt. 2 Opc. 5B,48021,12,5B,"

6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5C,LSV  Art. 021 Apt. 2 Opc. 5C,48021,12,5C,"
6","MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","600.0

300.0",CONDUCTOR,NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5D,LSV  Art. 021 Apt. 2 Opc. 5D,48021,12,5D,"

6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES)","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5E,LSV  Art. 021 Apt. 2 Opc. 5E,48021,12,5E,"
6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","500.0

250.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5F,LSV  Art. 021 Apt. 2 Opc. 5F,48021,12,5F,"

6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
500.0

250.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5G,LSV  Art. 021 Apt. 2 Opc. 5G,48021,12,5G,"
4",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","400.0

200.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5H,LSV  Art. 021 Apt. 2 Opc. 5H,48021,12,5H,"

4","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
400.0

200.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5I,LSV  Art. 021 Apt. 2 Opc. 5I,48021,12,5I,"
2",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","300.0

150.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5J,LSV  Art. 021 Apt. 2 Opc. 5J,48021,12,5J,"

2","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
300.0

150.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5K,LSV  Art. 021 Apt. 2 Opc. 5K,48021,12,5K,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","

SIN REDUC.",CONDUCTOR,"NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES. IMPORTE
VARIABLE ENTRE 100 Y 500 EUROS.","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5L,LSV  Art. 021 Apt. 2 Opc. 5L,48021,12,5L,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.",SIN REDUC.,CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES). IMPORTE VARIABLE ENTRE 100 Y 500 EUROS.","

VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5M,LSV  Art. 021 Apt. 2 Opc. 5M,48021,12,5M,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","100.0

50.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 048 Apt. 1 Opc. 5N,LSV  Art. 021 Apt. 2 Opc. 5N,48021,12,5N,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
100.0

50.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)",VELOCIDAD
CIR  Art. 049 Apt. 1 Opc. 5A,LSV  Art. 021 Apt. 1 Opc. 5A,49021,11,5A,"

0","
GRAVE 076.- M)","CIRCULAR A UNA VELOCIDAD ANORMALMENTE REDUCIDA, SIN CAUSA JUSTIFICADA, ENTORPECIENDO LA MARCHA
DE OTRO VEHÍCULO","
200.0

100.0",CONDUCTOR,,"
COMPORTA MIENTO INDEBIDO"
CIR  Art. 049 Apt. 1 Opc. 5B,LSV  Art. 021 Apt. 1 Opc. 5B,49021,11,5B,"

0","
GRAVE 076.- M)","CIRCULAR POR UNA AUTOPISTA O AUTOVÍA CON UN VEHÍCULO A MOTOR A UNA VELOCIDAD INFERIOR A
60 KM/H","
200.0

100.0",CONDUCTOR,"
NOTA: AUNQUE NO SE ENCUENTRE CIRCULANDO POR DICHO TRAMO NINGÚN OTRO VEHÍCULO","

VELOCIDAD"
CIR  Art. 049 Apt. 1 Opc. 5C,LSV  Art. 021 Apt. 2 Opc. 5C,49021,12,5C,0,GRAVE 076.- M),"CIRCULAR POR UNA VÍA CON UN VEHÍCULO A UNA VELOCIDAD INFERIOR A LA MITAD DE LA GENÉRICA ESTIPULADA (DEBERÁ INDICARSE LA VELOCIDAD GENÉRICA ESTIPULADA PARA EL VEHÍCULO OBJETO DE
DENUNCIA)","

200.0

100.0",CONDUCTOR,,COMPORTA MIENTO INDEBIDO
CIR  Art. 049 Apt. 3 Opc. 5A,LSV  Art. 021 Apt. 1 Opc. 5A,49021,31,5A,0,GRAVE 076.- M),"NO UTILIZAR DURANTE LA
CIRCULACIÓN DE UN VEHÍCULO QUE NO PUEDA ALCANZAR LA VELOCIDAD MÍNIMA EXIGIDA, LAS LUCES INDICADORAS DE DIRECCIÓN CON SEÑAL DE EMERGENCIA, EXISTIENDO PELIGRO DE
ALCANCE	","

200.0

100.0",CONDUCTOR,,"
INMOVILIZA CIÓN DEL VEHÍCULO"
CIR  Art. 050 Apt. 1 Opc. 5A,LSV  Art. 021 Apt. 3 Opc. 5A,50021,13,5A,"
6","MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","600.0

300.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5B,LSV  Art. 021 Apt. 3 Opc. 5B,50021,13,5B,"

6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5C,LSV  Art. 021 Apt. 3 Opc. 5C,50021,13,5C,"
6","MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","600.0

300.0",CONDUCTOR,NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5D,LSV  Art. 021 Apt. 3 Opc. 5D,50021,13,5D,"

6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOVÍA DE ACCESO A LAS CIUDADES)","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5E,LSV  Art. 021 Apt. 3 Opc. 5E,50021,13,5E,"
6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","500.0

250.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5F,LSV  Art. 021 Apt. 3 Opc. 5F,50021,13,5F,"

6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
500.0

250.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5G,LSV  Art. 021 Apt. 3 Opc. 5G,50021,13,5G,"
4",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","400.0

200.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5H,LSV  Art. 021 Apt. 3 Opc. 5H,50021,13,5H,"

4","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
400.0

200.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5I,LSV  Art. 021 Apt. 3 Opc. 5I,50021,13,5I,"
2",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","300.0

150.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5J,LSV  Art. 021 Apt. 3 Opc. 5J,50021,13,5J,"

2","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
300.0

150.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5K,LSV  Art. 021 Apt. 3 Opc. 5K,50021,13,5K,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","

SIN REDUC.",CONDUCTOR,NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOVÍA DE ACCESO A LAS CIUDADES. IMPORTE VARIABLE ENTRE 100 Y 500 EUROS.,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5L,LSV  Art. 021 Apt. 3 Opc. 5L,50021,13,5L,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","

SIN REDUC.",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOVÍA DE ACCESO A LAS CIUDADES). IMPORTE VARIABLE ENTRE 100 Y 500 EUROS.","

VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5M,LSV  Art. 021 Apt. 3 Opc. 5M,50021,13,5M,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","100.0

50.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 050 Apt. 1 Opc. 5N,LSV  Art. 021 Apt. 3 Opc. 5N,50021,13,5N,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
KM/H.	","
100.0

50.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)",VELOCIDAD
CIR  Art. 052 Apt. 1 Opc. 5A,LSV  Art. 021 Apt. 2 Opc. 5A,52021,12,5A,6,"MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","

600.0

300.0",CONDUCTOR,"NOTA: SOBRE LAS MÁXIMAS
GENÉRICAS, INDICADAS EN EL CUADRO DE VELOCIDADES CORRESPONDIENTE AL ARTÍCULO 48 RGCIRC., PREVALECERÁN LAS FIJADAS A TRAVÉS DE LAS CORRESPONDIENTES SEÑALES, ASÍ COMO A DETERMINADOS CONDUCTORES EN RAZÓN A SUS CIRCUNSTANCIAS PERSONALES",VELOCIDAD
CIR  Art. 052 Apt. 1 Opc. 5B,LSV  Art. 021 Apt. 2 Opc. 5B,52021,12,5B,"
6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO
RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5C,LSV  Art. 021 Apt. 2 Opc. 5C,52021,12,5C,"
6","MUY GRAVE 077.-
A)","CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","600.0

300.0",CONDUCTOR,NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES,"
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5D,LSV  Art. 021 Apt. 2 Opc. 5D,52021,12,5D,"

6","
MUY GRAVE 077.-
A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
600.0

300.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES)","

VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5E,LSV  Art. 021 Apt. 2 Opc. 5E,52021,12,5E,"
6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","500.0

250.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5F,LSV  Art. 021 Apt. 2 Opc. 5F,52021,12,5F,"

6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
500.0

250.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5G,LSV  Art. 021 Apt. 2 Opc. 5G,52021,12,5G,"
4",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","400.0

200.0",CONDUCTOR,,"

VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5H,LSV  Art. 021 Apt. 2 Opc. 5H,52021,12,5H,"

4","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO
RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
400.0

200.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5I,LSV  Art. 021 Apt. 2 Opc. 5I,52021,12,5I,"
2",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","300.0

150.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5J,LSV  Art. 021 Apt. 2 Opc. 5J,52021,12,5J,"

2","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
300.0

150.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)","

VELOCIDAD"
